tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-806,Toronto,Hard,96,1000,O,20260802,42,215872,,,Kamilla Rakhimova,R,170,UZB,24.928,83,894,211701,32,,Katerina Siniakova,R,174,CZE,30.229,37,1285,6-7(1) 6-0 5-2 RET,3,R64,151,2,6,88,53,27,20,12,3,7,2,7,92,57,33,8,13,4,13
2026-806,Toronto,Hard,96,1000,O,20260802,43,214939,17,,Anna Kalinskaya,R,175,RUS,27.666,21,2083,220520,,,Mccartney Kessler,R,,USA,27.069,48,1125,6-2 6-7(3) 6-4,3,R64,161,7,12,98,53,35,23,15,1,5,5,3,120,72,43,18,15,13,20
2026-806,Toronto,Hard,96,1000,O,20260802,44,223670,15,,Diana Shnaider,L,,RUS,22.333,17,2593,211685,,Q,Rebecca Sramkova,R,,SVK,29.785,143,559,6-2 4-6 6-1,3,R64,105,2,5,89,65,46,13,13,2,3,3,2,70,35,21,18,12,4,8
2026-806,Toronto,Hard,96,1000,O,20260802,45,216146,10,,Marta Kostyuk,R,175,UKR,24.096,11,3925,214684,,WC,Katherine Sebov,R,173,CAN,27.573,229,343,7-6(4) 6-0,3,R64,78,5,7,56,22,16,18,9,2,5,0,6,57,39,17,7,9,1,7
2026-806,Toronto,Hard,96,1000,O,20260802,46,201619,19,,Madison Keys,R,178,USA,31.455,23,1964,222045,,,Antonia Ruzic,R,,CRO,23.532,56,1062,6-1 6-2,3,R64,81,6,6,55,34,24,12,8,6,7,1,3,60,40,21,5,7,9,14
2026-806,Toronto,Hard,96,1000,O,20260802,47,203530,,,Viktorija Golubic,R,169,SUI,33.793,51,1088,202499,31,,Donna Vekic,R,179,CRO,30.094,35,1326,5-7 6-2 6-3,3,R64,135,0,2,99,73,47,9,14,6,10,5,9,90,45,29,17,15,4,11
2026-806,Toronto,Hard,96,1000,O,20260802,48,216347,7,,Iga Swiatek,R,176,POL,25.172,8,4539,239383,,,Sara Bejlek,L,,CZE,20.501,38,1269,6-0 6-3,3,R64,94,1,1,72,55,35,8,7,10,11,0,4,59,37,18,7,8,6,12
2026-806,Toronto,Hard,96,1000,O,20260802,49,216083,,,Caty McNally,R,183,USA,24.698,70,990,222328,6,,Linda Noskova,R,,CZE,21.706,7,5016,7-6(5) 6-1,3,R64,98,5,5,69,47,30,12,10,3,5,2,11,63,30,19,12,9,2,6
2026-806,Toronto,Hard,96,1000,O,20260802,50,223253,25,,Alexandra Eala,L,173,PHI,21.194,20,2106,219917,,,Alycia Parks,R,185,USA,25.585,71,989,6-1 4-6 6-2,3,R64,111,2,6,70,45,32,13,13,0,2,10,8,87,45,27,19,12,9,14
2026-806,Toronto,Hard,96,1000,O,20260802,51,203501,,,Taylor Townsend,L,170,USA,30.294,110,748,213631,21,,Marie Bouzkova,R,180,CZE,28.033,25,1829,7-6(4) 7-5,3,R64,129,4,4,78,48,38,13,12,3,5,5,7,87,53,34,16,12,7,10
2026-806,Toronto,Hard,96,1000,O,20260802,52,202505,12,,Belinda Bencic,R,175,SUI,29.396,14,2845,201585,,Q,Sloane Stephens,R,170,USA,33.369,286,255,6-3 6-1,3,R64,96,3,6,60,29,22,17,8,1,1,1,1,56,31,17,10,8,5,9
2026-806,Toronto,Hard,96,1000,O,20260802,53,260300,13,,Iva Jovic,R,,USA,18.656,16,2636,202663,,,Magda Linette,R,171,POL,34.470,68,1001,6-3 7-5,3,R64,97,4,2,64,33,25,18,11,2,4,0,4,57,26,15,16,10,3,7
2026-806,Toronto,Hard,96,1000,O,20260802,54,252499,,Q,Alina Korneeva,R,,RUS,19.110,89,849,215613,23,,Emma Navarro,R,,USA,25.207,28,1724,6-2 6-2,3,R64,76,3,3,58,36,22,12,8,5,7,0,3,53,24,10,13,8,3,9
2026-806,Toronto,Hard,96,1000,O,20260802,55,206289,29,,Maria Sakkari,R,172,GRE,31.023,33,1355,220309,,,Zeynep Sonmez,R,,TUR,24.257,52,1077,6-3 6-2,3,R64,80,5,6,57,24,20,17,9,2,3,0,5,54,33,21,7,8,4,8
2026-806,Toronto,Hard,96,1000,O,20260802,56,221103,4,,Coco Gauff,R,175,USA,22.387,4,5649,215037,,Q,Kayla Day,L,173,USA,26.845,131,591,6-2 7-5,3,R64,106,4,10,68,39,28,12,10,3,6,5,6,84,44,20,19,10,7,13
2026-806,Toronto,Hard,96,1000,O,20260802,57,259799,5,,Mirra Andreeva,R,,RUS,19.261,5,5293,201662,,,Karolina Pliskova,R,184,CZE,34.366,66,1006,6-0 6-2,3,R64,54,5,0,39,26,20,8,7,0,1,2,8,45,27,13,4,7,2,8
2026-806,Toronto,Hard,96,1000,O,20260802,58,220367,30,,Leylah Fernandez,L,168,CAN,23.904,34,1344,213887,,,Renata Zarazua,R,,MEX,28.838,73,971,6-2 6-2,3,R64,83,3,4,47,28,19,11,8,1,2,0,2,55,38,18,7,8,1,6
2026-806,Toronto,Hard,96,1000,O,20260802,59,210722,20,,Elise Mertens,R,179,BEL,30.708,24,1948,214388,,,Anna Bondar,R,,HUN,29.183,78,936,3-6 6-4 6-4,3,R64,154,8,11,89,38,31,19,14,5,10,2,5,104,48,25,32,15,7,13
2026-806,Toronto,Hard,96,1000,O,20260802,60,211768,11,,Naomi Osaka,R,180,JPN,28.794,13,3281,215910,,,Panna Udvardy,R,170,HUN,27.844,76,953,6-2 6-4,3,R64,73,10,3,54,29,24,13,9,2,3,0,3,56,33,17,12,9,2,6
2026-806,Toronto,Hard,96,1000,O,20260802,61,233741,,Q,Maya Joint,R,,AUS,20.296,75,956,201514,14,,Sorana Cirstea,R,176,ROU,36.320,18,2502,6-4 6-4,3,R64,93,1,6,92,52,29,22,10,8,11,6,6,51,28,19,8,10,3,8
2026-806,Toronto,Hard,96,1000,O,20260802,62,214643,,,Liudmila Samsonova,R,180,RUS,27.723,55,1068,206252,22,,Barbora Krejcikova,R,178,CZE,30.623,26,1776,6-1 7-5,3,R64,97,2,5,70,35,26,20,10,4,5,4,5,55,29,19,9,9,6,10
2026-806,Toronto,Hard,96,1000,O,20260802,63,215983,28,,Ann Li,R,170,USA,26.100,31,1541,239436,,WC,Kayla Cross,L,,CAN,21.366,177,449,7-6(2) 6-3,3,R64,87,1,4,64,34,23,20,10,2,4,3,4,71,41,25,13,11,3,7
2026-806,Toronto,Hard,96,1000,O,20260802,64,214981,2,,Elena Rybakina,R,184,KAZ,27.127,2,8056,214082,,,Daria Kasatkina,R,170,AUS,29.238,61,1033,6-3 5-7 6-4,3,R64,153,15,16,124,54,43,31,16,8,11,3,6,105,68,40,21,15,9,13
2026-806,Toronto,Hard,96,1000,O,20260802,65,206420,16,,Ekaterina Alexandrova,R,175,RUS,31.713,19,2301,221883,,,Talia Gibson,R,,AUS,22.122,74,958,5-7 6-1 6-3,3,R32,116,7,4,82,52,37,20,14,4,6,8,7,81,38,28,17,14,4,9
2026-806,Toronto,Hard,96,1000,O,20260802,66,202468,3,,Jessica Pegula,R,170,USA,32.435,3,6625,215872,,,Kamilla Rakhimova,R,170,UZB,24.928,83,894,6-4 6-0,3,R32,68,1,2,45,32,21,7,8,0,2,0,3,47,29,11,6,8,0,6
2026-806,Toronto,Hard,96,1000,O,20260802,67,223670,15,,Diana Shnaider,L,,RUS,22.333,17,2593,214939,17,,Anna Kalinskaya,R,175,RUS,27.666,21,2083,6-3 6-3,3,R32,77,3,1,55,36,24,10,9,2,4,4,5,54,27,19,8,9,5,10
2026-806,Toronto,Hard,96,1000,O,20260802,68,216347,7,,Iga Swiatek,R,176,POL,25.172,8,4539,203530,,,Viktorija Golubic,R,169,SUI,33.793,51,1088,6-2 6-1,3,R32,66,2,1,41,28,22,7,8,0,1,0,1,42,28,12,5,7,4,9
2026-806,Toronto,Hard,96,1000,O,20260802,69,216146,10,,Marta Kostyuk,R,175,UKR,24.096,11,3925,201619,19,,Madison Keys,R,178,USA,31.455,23,1964,6-3 6-1,3,R32,72,1,4,61,32,30,11,8,10,10,1,2,50,33,19,7,8,2,6
2026-806,Toronto,Hard,96,1000,O,20260802,70,216153,8,,Amanda Anisimova,R,180,USA,24.920,10,4353,223360,,,Nikola Bartunkova,R,,CZE,20.433,42,1231,3-6 6-0 6-4,3,R32,119,0,7,85,54,30,15,13,4,9,1,3,79,46,17,18,12,3,10
2026-806,Toronto,Hard,96,1000,O,20260802,71,214544,1,,Aryna Sabalenka,R,182,BLR,28.244,1,8550,201533,,,Shuai Zhang,R,177,CHN,37.528,62,1020,6-3 6-4,3,R32,76,5,4,62,37,30,14,10,2,2,1,0,56,37,23,12,9,1,3
2026-806,Toronto,Hard,96,1000,O,20260802,72,202494,9,,Elina Svitolina,R,174,UKR,31.888,9,4459,215713,24,,Anastasia Potapova,R,175,RUS,25.342,27,1726,6-1 6-1,3,R32,60,1,2,53,36,27,7,7,5,5,1,2,44,29,14,3,7,5,10
2026-806,Toronto,Hard,96,1000,O,20260802,73,223253,25,,Alexandra Eala,L,173,PHI,21.194,20,2106,216083,,,Caty McNally,R,183,USA,24.698,70,990,6-3 5-7 6-4,3,R32,159,2,2,92,64,36,14,16,2,8,1,5,92,68,36,12,15,6,13
2026-806,Toronto,Hard,96,1000,O,20260802,74,202505,12,,Belinda Bencic,R,175,SUI,29.396,14,2845,203501,,,Taylor Townsend,L,170,USA,30.294,110,748,6-7(5) 7-6(4) 6-4,3,R32,204,4,8,123,60,39,44,17,7,9,9,3,128,77,57,25,17,6,9
2026-806,Toronto,Hard,96,1000,O,20260802,75,252499,,Q,Alina Korneeva,R,,RUS,19.110,89,849,260300,13,,Iva Jovic,R,,USA,18.656,16,2636,6-3 6-4,3,R32,82,4,2,48,32,23,4,9,3,7,2,4,55,32,17,5,10,1,8
2026-806,Toronto,Hard,96,1000,O,20260802,76,221103,4,,Coco Gauff,R,175,USA,22.387,4,5649,206289,29,,Maria Sakkari,R,172,GRE,31.023,33,1355,6-1 6-4,3,R32,76,3,2,38,25,18,5,5,3,4,0,1,34,21,14,4,5,3,5
2026-806,Toronto,Hard,96,1000,O,20260802,77,220367,30,,Leylah Fernandez,L,168,CAN,23.904,34,1344,259799,5,,Mirra Andreeva,R,,RUS,19.261,5,5293,6-1 6-4,3,R32,80,0,1,48,27,24,9,9,0,1,4,2,58,35,23,6,8,1,5
2026-806,Toronto,Hard,96,1000,O,20260802,78,211768,11,,Naomi Osaka,R,180,JPN,28.794,13,3281,210722,20,,Elise Mertens,R,179,BEL,30.708,24,1948,6-1 6-2,3,R32,71,7,2,47,27,23,12,8,3,3,5,5,53,28,17,7,7,4,8
2026-806,Toronto,Hard,96,1000,O,20260802,79,214643,,,Liudmila Samsonova,R,180,RUS,27.723,55,1068,233741,,Q,Maya Joint,R,,AUS,20.296,75,956,7-5 6-7(3) 6-2,3,R32,172,5,9,114,59,42,24,16,12,16,2,4,110,65,37,24,16,8,15
2026-806,Toronto,Hard,96,1000,O,20260802,80,214981,2,,Elena Rybakina,R,184,KAZ,27.127,2,8056,215983,28,,Ann Li,R,170,USA,26.100,31,1541,6-2 7-5,3,R32,90,2,1,54,32,22,14,10,2,4,0,4,70,32,23,13,10,1,6
